"Datum","Year","Sesson","Sum(Sum(SA_Nächtigungen))"
"1999-02-01",1999,"Winter_Haupt",13508009
"1999-03-01",1999,"Winter_Haupt",10282741
"1999-04-01",1999,"Übergang",5885842
"1999-05-01",1999,"Sommer_Neben",5988252
"1999-06-01",1999,"Sommer_Neben",8280591
"1999-07-01",1999,"Sommer_Haupt",14459458
"1999-08-01",1999,"Sommer_Haupt",17904330
"1999-09-01",1999,"Sommer_Neben",9320316
"1999-10-01",1999,"Übergang",5247788
"1999-11-01",1999,"Übergang",2646650
"1999-12-01",1999,"Winter_Haupt",7373032
"2000-01-01",2000,"Winter_Haupt",12437804
"2000-02-01",2000,"Winter_Haupt",13480000
"2000-03-01",2000,"Winter_Haupt",11340174
"2000-04-01",2000,"Übergang",6137874
"2000-05-01",2000,"Sommer_Neben",5150347
"2000-06-01",2000,"Sommer_Neben",8908928
"2000-07-01",2000,"Sommer_Haupt",14618141
"2000-08-01",2000,"Sommer_Haupt",16498662
"2000-09-01",2000,"Sommer_Neben",9288298
"2000-10-01",2000,"Übergang",5180341
"2000-11-01",2000,"Übergang",2701638
"2000-12-01",2000,"Winter_Haupt",7943362
"2001-01-01",2001,"Winter_Haupt",12611596
"2001-02-01",2001,"Winter_Haupt",14249582
"2001-03-01",2001,"Winter_Haupt",11124465
"2001-04-01",2001,"Übergang",6639917
"2001-05-01",2001,"Sommer_Neben",5647470
"2001-06-01",2001,"Sommer_Neben",8467990
"2001-07-01",2001,"Sommer_Haupt",14626042
"2001-08-01",2001,"Sommer_Haupt",16490657
"2001-09-01",2001,"Sommer_Neben",8583676
"2001-10-01",2001,"Übergang",5429983
"2001-11-01",2001,"Übergang",2873002
"2001-12-01",2001,"Winter_Haupt",8365664
"2002-01-01",2002,"Winter_Haupt",12469912
"2002-02-01",2002,"Winter_Haupt",15032360
"2002-03-01",2002,"Winter_Haupt",12549557
"2002-04-01",2002,"Übergang",5009966
"2002-05-01",2002,"Sommer_Neben",6439941
"2002-06-01",2002,"Sommer_Neben",8224343
"2002-07-01",2002,"Sommer_Haupt",14645574
"2002-08-01",2002,"Sommer_Haupt",16554602
"2002-09-01",2002,"Sommer_Neben",8781886
"2002-10-01",2002,"Übergang",5549698
"2002-11-01",2002,"Übergang",2913234
