"SA_Bundesland(AT)","SA_Datum","Sum(SA_Nächtigungen)","Month","Year","Sesson"
"Burgenland","1990-07-01",470939,7,1990,"Sommer_Haupt"
"Burgenland","1990-08-01",540677,8,1990,"Sommer_Haupt"
"Burgenland","1990-09-01",230563,9,1990,"Sommer_Neben"
"Burgenland","1990-10-01",124541,10,1990,"Übergang"
"Burgenland","1990-11-01",63111,11,1990,"Übergang"
"Burgenland","1990-12-01",37614,12,1990,"Winter_Haupt"
"Burgenland","1991-01-01",41178,1,1991,"Winter_Haupt"
"Burgenland","1991-02-01",44813,2,1991,"Winter_Haupt"
"Burgenland","1991-03-01",68626,3,1991,"Winter_Haupt"
"Burgenland","1991-04-01",94842,4,1991,"Übergang"
"Burgenland","1991-05-01",212854,5,1991,"Sommer_Neben"
"Burgenland","1991-06-01",243331,6,1991,"Sommer_Neben"
"Burgenland","1991-07-01",466334,7,1991,"Sommer_Haupt"
"Burgenland","1991-08-01",569979,8,1991,"Sommer_Haupt"
"Burgenland","1991-09-01",250676,9,1991,"Sommer_Neben"
"Burgenland","1991-10-01",137285,10,1991,"Übergang"
"Burgenland","1991-11-01",65443,11,1991,"Übergang"
"Burgenland","1991-12-01",42146,12,1991,"Winter_Haupt"
"Burgenland","1992-01-01",41827,1,1992,"Winter_Haupt"
"Burgenland","1992-02-01",47502,2,1992,"Winter_Haupt"
"Burgenland","1992-03-01",64216,3,1992,"Winter_Haupt"
"Burgenland","1992-04-01",101395,4,1992,"Übergang"
"Burgenland","1992-05-01",188924,5,1992,"Sommer_Neben"
"Burgenland","1992-06-01",286680,6,1992,"Sommer_Neben"
"Burgenland","1992-07-01",482304,7,1992,"Sommer_Haupt"
"Burgenland","1992-08-01",556128,8,1992,"Sommer_Haupt"
"Burgenland","1992-09-01",264182,9,1992,"Sommer_Neben"
"Burgenland","1992-10-01",128544,10,1992,"Übergang"
"Burgenland","1992-11-01",57511,11,1992,"Übergang"
"Burgenland","1992-12-01",40764,12,1992,"Winter_Haupt"
"Burgenland","1993-01-01",41059,1,1993,"Winter_Haupt"
"Burgenland","1993-02-01",47754,2,1993,"Winter_Haupt"
"Burgenland","1993-03-01",61888,3,1993,"Winter_Haupt"
"Burgenland","1993-04-01",105998,4,1993,"Übergang"
"Burgenland","1993-05-01",190283,5,1993,"Sommer_Neben"
"Burgenland","1993-06-01",299502,6,1993,"Sommer_Neben"
"Burgenland","1993-07-01",428903,7,1993,"Sommer_Haupt"
"Burgenland","1993-08-01",516517,8,1993,"Sommer_Haupt"
"Burgenland","1993-09-01",233459,9,1993,"Sommer_Neben"
"Burgenland","1993-10-01",131406,10,1993,"Übergang"
"Burgenland","1993-11-01",63129,11,1993,"Übergang"
"Burgenland","1993-12-01",37419,12,1993,"Winter_Haupt"
"Burgenland","1994-01-01",46039,1,1994,"Winter_Haupt"
"Burgenland","1994-02-01",47311,2,1994,"Winter_Haupt"
"Burgenland","1994-03-01",67296,3,1994,"Winter_Haupt"
"Burgenland","1994-04-01",94078,4,1994,"Übergang"
"Burgenland","1994-05-01",235784,5,1994,"Sommer_Neben"
"Burgenland","1994-06-01",243839,6,1994,"Sommer_Neben"
"Burgenland","1994-07-01",437708,7,1994,"Sommer_Haupt"
"Burgenland","1994-08-01",508660,8,1994,"Sommer_Haupt"
"Burgenland","1994-09-01",236152,9,1994,"Sommer_Neben"
"Burgenland","1994-10-01",131061,10,1994,"Übergang"
"Burgenland","1994-11-01",66223,11,1994,"Übergang"
"Burgenland","1994-12-01",39526,12,1994,"Winter_Haupt"
"Burgenland","1995-01-01",45911,1,1995,"Winter_Haupt"
"Burgenland","1995-02-01",50130,2,1995,"Winter_Haupt"
"Burgenland","1995-03-01",66982,3,1995,"Winter_Haupt"
"Burgenland","1995-04-01",109091,4,1995,"Übergang"
"Burgenland","1995-05-01",211141,5,1995,"Sommer_Neben"
"Burgenland","1995-06-01",268014,6,1995,"Sommer_Neben"
"Burgenland","1995-07-01",396159,7,1995,"Sommer_Haupt"
"Burgenland","1995-08-01",487381,8,1995,"Sommer_Haupt"
"Burgenland","1995-09-01",216245,9,1995,"Sommer_Neben"
"Burgenland","1995-10-01",124983,10,1995,"Übergang"
"Burgenland","1995-11-01",72270,11,1995,"Übergang"
"Burgenland","1995-12-01",45295,12,1995,"Winter_Haupt"
"Burgenland","1996-01-01",49546,1,1996,"Winter_Haupt"
"Burgenland","1996-02-01",52703,2,1996,"Winter_Haupt"
"Burgenland","1996-03-01",65923,3,1996,"Winter_Haupt"
"Burgenland","1996-04-01",100870,4,1996,"Übergang"
"Burgenland","1996-05-01",216342,5,1996,"Sommer_Neben"
"Burgenland","1996-06-01",249916,6,1996,"Sommer_Neben"
"Burgenland","1996-07-01",363098,7,1996,"Sommer_Haupt"
"Burgenland","1996-08-01",474400,8,1996,"Sommer_Haupt"
"Burgenland","1996-09-01",204494,9,1996,"Sommer_Neben"
"Burgenland","1996-10-01",127155,10,1996,"Übergang"
"Burgenland","1996-11-01",69532,11,1996,"Übergang"
"Burgenland","1996-12-01",41256,12,1996,"Winter_Haupt"
"Burgenland","1997-01-01",49542,1,1997,"Winter_Haupt"
"Burgenland","1997-02-01",50561,2,1997,"Winter_Haupt"
"Burgenland","1997-03-01",70477,3,1997,"Winter_Haupt"
"Burgenland","1997-04-01",94532,4,1997,"Übergang"
"Burgenland","1997-05-01",239020,5,1997,"Sommer_Neben"
"Burgenland","1997-06-01",217899,6,1997,"Sommer_Neben"
"Burgenland","1997-07-01",330774,7,1997,"Sommer_Haupt"
"Burgenland","1997-08-01",473860,8,1997,"Sommer_Haupt"
"Burgenland","1997-09-01",217312,9,1997,"Sommer_Neben"
"Burgenland","1997-10-01",126341,10,1997,"Übergang"
"Burgenland","1997-11-01",78763,11,1997,"Übergang"
"Burgenland","1997-12-01",54694,12,1997,"Winter_Haupt"
"Burgenland","1998-01-01",62020,1,1998,"Winter_Haupt"
"Burgenland","1998-02-01",62182,2,1998,"Winter_Haupt"
"Burgenland","1998-03-01",74176,3,1998,"Winter_Haupt"
"Burgenland","1998-04-01",115511,4,1998,"Übergang"
"Burgenland","1998-05-01",256133,5,1998,"Sommer_Neben"
"Burgenland","1998-06-01",288701,6,1998,"Sommer_Neben"
"Burgenland","1998-07-01",357253,7,1998,"Sommer_Haupt"
"Burgenland","1998-08-01",496512,8,1998,"Sommer_Haupt"
"Burgenland","1998-09-01",222185,9,1998,"Sommer_Neben"
"Burgenland","1998-10-01",134610,10,1998,"Übergang"
"Burgenland","1998-11-01",86051,11,1998,"Übergang"
"Burgenland","1998-12-01",56334,12,1998,"Winter_Haupt"
"Burgenland","1999-01-01",67411,1,1999,"Winter_Haupt"
"Burgenland","1999-02-01",68523,2,1999,"Winter_Haupt"
"Burgenland","1999-03-01",88490,3,1999,"Winter_Haupt"
"Burgenland","1999-04-01",121355,4,1999,"Übergang"
"Burgenland","1999-05-01",254735,5,1999,"Sommer_Neben"
"Burgenland","1999-06-01",288168,6,1999,"Sommer_Neben"
"Burgenland","1999-07-01",390149,7,1999,"Sommer_Haupt"
"Burgenland","1999-08-01",522055,8,1999,"Sommer_Haupt"
"Burgenland","1999-09-01",237241,9,1999,"Sommer_Neben"
"Burgenland","1999-10-01",152756,10,1999,"Übergang"
"Burgenland","1999-11-01",92591,11,1999,"Übergang"
