valid_time,t2m,latitude,longitude
2025-01-14 16:00:00,271.68237,47.5,13.3
2025-01-14 17:00:00,270.33252,47.5,13.3
2025-01-14 18:00:00,268.9021,47.5,13.3
2025-01-14 19:00:00,268.10278,47.5,13.3
2025-01-14 20:00:00,267.5652,47.5,13.3
2025-01-14 21:00:00,268.2173,47.5,13.3
2025-01-14 22:00:00,266.55615,47.5,13.3
2025-01-14 23:00:00,265.8723,47.5,13.3
2025-01-15 00:00:00,265.28345,47.5,13.3
2025-01-15 01:00:00,265.24658,47.5,13.3
2025-01-15 02:00:00,267.02148,47.5,13.3
2025-01-15 03:00:00,268.8667,47.5,13.3
2025-01-15 04:00:00,269.49487,47.5,13.3
2025-01-15 05:00:00,268.74365,47.5,13.3
2025-01-15 06:00:00,269.14575,47.5,13.3
2025-01-15 07:00:00,268.90796,47.5,13.3
2025-01-15 08:00:00,269.04883,47.5,13.3
2025-01-15 09:00:00,269.67114,47.5,13.3
2025-01-15 10:00:00,270.05176,47.5,13.3
2025-01-15 11:00:00,270.7351,47.5,13.3
2025-01-15 12:00:00,271.02832,47.5,13.3
2025-01-15 13:00:00,271.01855,47.5,13.3
2025-01-15 14:00:00,271.1499,47.5,13.3
2025-01-15 15:00:00,271.61157,47.5,13.3
2025-01-15 16:00:00,271.53882,47.5,13.3
2025-01-15 17:00:00,271.47144,47.5,13.3
2025-01-15 18:00:00,271.45117,47.5,13.3
2025-01-15 19:00:00,271.5564,47.5,13.3
2025-01-15 20:00:00,271.53198,47.5,13.3
2025-01-15 21:00:00,271.50488,47.5,13.3
2025-01-15 22:00:00,271.72314,47.5,13.3
2025-01-15 23:00:00,271.44824,47.5,13.3
2025-01-16 00:00:00,271.43677,47.5,13.3
2025-01-16 01:00:00,271.42725,47.5,13.3
2025-01-16 02:00:00,271.55127,47.5,13.3
2025-01-16 03:00:00,271.47998,47.5,13.3
2025-01-16 04:00:00,270.88916,47.5,13.3
2025-01-16 05:00:00,270.20898,47.5,13.3
2025-01-16 06:00:00,269.7683,47.5,13.3
2025-01-16 07:00:00,270.06787,47.5,13.3
2025-01-16 08:00:00,269.07446,47.5,13.3
2025-01-16 09:00:00,269.82373,47.5,13.3
2025-01-16 10:00:00,270.2539,47.5,13.3
2025-01-16 11:00:00,271.46167,47.5,13.3
2025-01-16 12:00:00,272.02393,47.5,13.3
2025-01-16 13:00:00,272.38306,47.5,13.3
2025-01-16 14:00:00,272.64502,47.5,13.3
2025-01-16 15:00:00,272.55933,47.5,13.3
2025-01-16 16:00:00,271.95483,47.5,13.3
2025-01-16 17:00:00,270.26465,47.5,13.3
2025-01-16 18:00:00,269.21118,47.5,13.3
2025-01-16 19:00:00,268.5183,47.5,13.3
2025-01-16 20:00:00,267.44336,47.5,13.3
2025-01-16 21:00:00,265.90088,47.5,13.3
2025-01-16 22:00:00,265.50977,47.5,13.3
2025-01-16 23:00:00,265.0027,47.5,13.3
2025-01-17 00:00:00,264.77295,47.5,13.3
2025-01-17 01:00:00,264.40845,47.5,13.3
2025-01-17 02:00:00,264.23218,47.5,13.3
2025-01-17 03:00:00,264.07812,47.5,13.3
2025-01-17 04:00:00,264.03052,47.5,13.3
2025-01-17 05:00:00,264.02686,47.5,13.3
2025-01-17 06:00:00,264.02515,47.5,13.3
2025-01-17 07:00:00,263.8706,47.5,13.3
2025-01-17 08:00:00,264.62598,47.5,13.3
2025-01-17 09:00:00,266.57568,47.5,13.3
2025-01-17 10:00:00,271.1311,47.5,13.3
2025-01-17 11:00:00,273.49805,47.5,13.3
2025-01-17 12:00:00,274.4475,47.5,13.3
2025-01-17 13:00:00,274.60303,47.5,13.3
2025-01-17 14:00:00,274.77588,47.5,13.3
2025-01-17 15:00:00,274.34326,47.5,13.3
2025-01-17 16:00:00,273.1953,47.5,13.3
2025-01-17 17:00:00,272.16553,47.5,13.3
2025-01-17 18:00:00,271.3982,47.5,13.3
2025-01-17 19:00:00,269.80225,47.5,13.3
2025-01-17 20:00:00,268.7937,47.5,13.3
2025-01-17 21:00:00,267.82568,47.5,13.3
2025-01-17 22:00:00,266.99,47.5,13.3
2025-01-17 23:00:00,266.20312,47.5,13.3
2025-01-18 00:00:00,265.49585,47.5,13.3
2025-01-18 01:00:00,265.19165,47.5,13.3
2025-01-18 02:00:00,264.64917,47.5,13.3
2025-01-18 03:00:00,264.0332,47.5,13.3
2025-01-18 04:00:00,263.46362,47.5,13.3
2025-01-18 05:00:00,262.85156,47.5,13.3
2025-01-18 06:00:00,262.98926,47.5,13.3
2025-01-18 07:00:00,262.92505,47.5,13.3
2025-01-18 08:00:00,264.50806,47.5,13.3
2025-01-18 09:00:00,267.07935,47.5,13.3
2025-01-18 10:00:00,269.99365,47.5,13.3
2025-01-18 11:00:00,272.23047,47.5,13.3
2025-01-18 12:00:00,274.71167,47.5,13.3
2025-01-18 13:00:00,274.9756,47.5,13.3
2025-01-18 14:00:00,274.5398,47.5,13.3
2025-01-18 15:00:00,274.53638,47.5,13.3
